genres,game_name,release_date,id_game,price,specs
0,Lost Summoner Kitty,35,761140,1,15
8,Ironbound,35,643980,0,15
4,Real Pool 3D - Poolians,34,670290,0,15
0,弹炸人2222,34,767400,1,15
0,Battle Royale Trainer,35,772540,1,15
8,SNOW - All Access Basic Pass,35,774276,2,15
8,SNOW - All Access Pro Pass,35,774277,2,15
8,SNOW - All Access Legend Pass,35,774278,2,15
0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,35,770380,2,15
4,Beach Rules,35,768880,1,15
4,Planetarium 2 - Zen Odyssey,35,765320,1,15
1,The first thrust of God,35,773650,1,15
8,SNOW - Starter Pack,35,774271,2,15
1,The first thrust of God - All Aircrafts,35,773690,1,15
8,SNOW - Lifetime Pack,35,774279,2,15
0,The Warrior Of Treasures,35,768060,1,15
13,RC Plane 3 - Canyon Scenario,34,775880,1,15
13,RC Plane 3 - F-53B,34,775881,1,15
0,DinoBlaster,35,653960,1,15
0,Carmageddon Max Pack,14,282010,2,15
0,Half-Life,15,70,2,15
0,Fallen Mage,33,752360,1,15
4,Vaporwave Simulator,35,766850,1,15
0,Underdone - Soundtrack,35,754360,2,15
1,Bitcoin Clicker,35,716110,1,15
16,Disciples II: Gallean's Return,23,1640,2,15
16,Disciples II: Rise of the Elves,23,1630,2,15
0,The Ship: Murder Party,23,2400,2,15
0,Souland,34,759920,2,15
0,TAROTICA VOO DOO,34,603280,2,15
4,Chronicles of Vinland,34,753110,2,15
0,Orbitality,34,753100,2,15
0,Atomic Adam: Episode 1,34,764280,1,15
1,Mirt. Tales of the Cold Land. Chapter 2,34,758550,1,15
0,Advent Rising,22,3800,2,15
9,DEFCON,23,1520,2,15
0,The Ship: Single Player,23,2420,2,15
9,Garry's Mod,23,4000,2,15
13,RACE - The WTCC Game,23,4230,2,15
4,Zen of Sudoku,23,4900,0,15
4,Gumboy - Crazy Adventures™,23,2520,1,15
16,Ghost Master®,20,6200,1,15
16,Vegas: Make It Big™,23,6210,1,15
1,Dreamfall: The Longest Journey,23,6300,2,15
13,FlatOut 2™,23,2990,2,15
13,FlatOut,22,6220,2,15
0,Lost Planet™: Extreme Condition,24,6510,2,15
16,CivCity: Rome,23,3980,2,15
12,Arx Fatalis,19,1700,1,15
0,The Longest Journey,17,6310,2,15
16,Civilization IV®: Warlords,23,3990,1,15
16,Railroad Tycoon 3,20,7610,2,15
16,Sid Meier's Railroads!,23,7600,2,15
16,Railroad Tycoon II Platinum,15,7620,1,15
4,RIP - Trilogy™,24,2540,1,15
16,X-COM: Terror From the Deep,12,7650,1,15
0,Tomb Raider: Anniversary,24,8000,2,15
0,Devil May Cry® 3 Special Edition,23,6550,2,15
0,Sam & Max 101: Culture Shock,23,8200,2,15
0,Final DOOM,13,2290,1,15
0,Sam & Max 102: Situation: Comedy,23,8210,2,15
0,Ultimate Doom,12,2280,1,15
0,Master Levels for Doom II,12,9160,2,15
0,DOOM II,11,2300,1,15
0,Wolfenstein 3D,11,2270,1,15
0,Return to Castle Wolfenstein,18,9010,1,15
0,QUAKE Mission Pack 1: Scourge of Armagon,14,9040,1,15
0,Spear of Destiny,10,9000,1,15
0,BloodRayne,20,3810,2,15
0,QUAKE Mission Pack 2: Dissolution of Eternity,24,9030,1,15
0,QUAKE,24,2310,1,15
16,Genesis Rising,24,3230,1,15
16,"Warhammer® 40,000: Dawn of War® – Winter Assault",23,9310,2,15
0,BioShock™,24,7670,2,15
16,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",23,4570,2,15
16,"Warhammer® 40,000: Dawn of War® - Dark Crusade",23,4580,2,15
16,Rome: Total War™ - Collection,21,4760,2,15
16,Rome: Total War™ - Alexander,23,4770,1,15
4,Mystery Case Files: Madame Fate®,24,50970,2,15
0,Manhunt,21,12130,2,15
13,Midnight Club 2,20,12160,2,15
0,Max Payne 2: The Fall of Max Payne,20,12150,2,15
0,Tomb Raider: Legend,23,7000,2,15
0,Max Payne,18,12140,2,15
16,Command & Conquer: Red Alert 3,25,17480,2,15
4,PuzzleQuest: Challenge of the Warlords,24,12500,2,15
